abandon,v./n.放纵;v.放弃
abase,v. 降低（地位、职位、威望或尊严）
abash,v.使尴尬，使羞愧
abate,v.减轻（程度或者强度）;v.减少（数量），降低（价值）
abbreviate,v.缩写，缩短
abdicate,v.正式放弃（权力、责任）
aberrant,adj.异常的，非常规的
abet,v.鼓励
abeyance,n.中止，搁置
abhor,v.深恶痛绝，极度厌恶
abiding,adj.持久的
abject,adj.（地位、身份）悲惨、凄凉的;adj.卑微的，讨好的
abjure,v.发誓放弃;v.抵制，避免
abnegate,v.否认
abominate,v.痛恨，厌恶
aboveboard,adj.无欺诈的，光明正大的
abrade,v.磨损，精神上折磨
abridge,v.缩短，缩小
abrogate,v.官方的正式废除
abscond,v.偷偷离开
absolute,adj.专制的;adj.无限的;adj.完美的，纯净不掺杂的;adj.不容置疑的，确凿的
absolve,v.使无罪，解除责任
abstain,v.自我克制，主动戒绝
abstemious,adj.（吃喝等）有节制的，节俭的
abstract,vt.做总结，概括；;vt.使分心
abstruse,adj.难以理解的
absurd,adj.不合理的
abundant,adj.大量的
abuse,v.辱骂，抨击；;v.不正当或不合理使用
acquainted,adj.熟悉的
abysmal,adj.（程度）很深的；极端的；
accede,v.赞成
ad hoc,adj.专门的
accessible,adj.可以到达的;adj.可理解的
accessory,adj.辅助的，附属的
accidental,adj.意外发生的，偶然的
acclimate,vt.使适应
accolade,n.同意，赞赏;v.赞扬
accommodate,v.改变以适应新情况、新场景;vt.使和谐
accentuate,v.强调
accrete,v.逐渐增长
accumulate,vi.逐渐增长
acerbic,adj.（心情、心境或者语调）尖酸的
acme,n.顶点，极点
acquiesce,v.勉强同意；默许
acrid,adj.刻薄的
acrimonious,adj.刻薄的，充满仇恨的
acumen,n.不同寻常的洞察力和鉴别力
acute,adj.敏锐的;adj.（程度、影响）极强的
adamant,adj.固执的，不可动摇的
adapt,v.修改，使（适应）
addict,v.沉溺，上瘾;n.对某事上瘾的人
adhere,v.服从，遵守
adjourn,vi.延期，休会
adjunct,n.附属物，非必须部分
ad-lib,adj.即兴的
admonish,v.建议;v.责备
adore,vt.喜爱，因…感到愉悦;vt.宠爱
adulate,v.极度谄媚，拍马屁
adulterate,vt.掺杂，加入低等成分
adumbrate,vt.预示着
adventitious,adj.外来的，后天的，非内在的
adversary,n.敌手，对手
advert,vi.引起注意；提到
advocate,vt.支持，提倡
affable,adj.和蔼的，温和的
affinity,n.喜欢，倾向；;n.相似
affluent,adj.富裕的
aggrandize,vt.增加、提高（力量、财富、地位、声誉）等
aggravate,vt.加重，恶化
aggregate,n.集合体;v.集合，聚集
aggressive,adj.好斗的;adj.强有力的，强烈的
aggrieve,vt.使苦恼，使悲痛
agitate,v.煽动，激起;vt.使不安
agog,adj.极度感兴趣的
agonize,vt.折磨，使痛苦；
airtight,adj.无瑕疵的
alacrity,n.反应迅速，乐意，欣然
alibi,n.不在场的证明；托辞，借口
alienate,v.使…疏远
align,v.调准，校准
allay,vt.减轻
allegiance,n.忠诚
alleviate,v.缓和，减轻
allude,vi.间接提到
allure,vt.吸引
ally,n.盟友，支持者；;v.加入联盟
aloft,adv.在空中
aloof,adj.高冷的
altruism,n.利他主义，无私
amalgamate,v.合并，混合
ambiguous,adj.不确定的
amble,vi./n.漫步，闲逛
ambrosial,adj.（食物）特别美味的；香的
ameliorate,vt.改善，改进
amenable,adj.顺从的，服从的
amenity,n.（环境、设备等的）舒适，人性化；;n.融洽，和谐
amiable,adj.好脾气的，友好易相处的
amicable,adj.友善的
amity,n.友好关系，亲善和睦
amorphous,adj.无固定形状的
anodyne,adj.无害的
anarchist,n.反抗权威的人
anathema,n.令人讨厌的事物
ancillary,adj.次要的;adj.辅助的，补充的
anecdote,n.短小有趣的故事，段子
anemic,adj.缺乏力量、活力、精神的
anesthetic,adj.无感觉的，麻木的
animate,adj.有活力的;vt.使有活力，支持
animus,n.敌意
annoy,vt.不断烦扰
annul,vt.宣告无效，取消
anomalous,adj.不普通的，不平常的
anonymous,adj.匿名的
antagonize,vt.与…敌对，反对；;vt.激怒
antediluvian,adj.非常古老的；过时的
anterior,adj.前面的
antic,adj.滑稽可笑的
apathy,n.缺乏兴趣，不关心
aphorism,n.格言，警句
apocalyptic,adj.预言的，启示的;adj.重要的，转折点的
apocryphal,adj.假的
apoplectic,adj.极度愤怒的
apostasy,n.背叛
appall,vt.使惊恐
appeal,n.申请;n.起诉
appealing,adj.吸引人的
applause,n.鼓掌；认可
apposite,adj.相关的，合适的
appreciable,adj.可感知的，明显的
apprehension,n.忧虑，恐惧;n.理解
apprise,v.通知，告知
approbation,n.同意
appropriate,v.私自挪用;adj.适当的
apropos,adj.相关的;prep.关于，有关
apt,adj.恰当的，合适的;adj.聪明的
archaic,adj.过时的，久远的
archetype,n.典范，榜样
ardor,n.狂热
arduous,adj.难以做到的，费劲的
anthropogenic,adj.人为的
arrest,n./v.停止;v.逮捕;v.吸引（某人）注意力
arresting,adj.吸引人的
arrhythmic,adj.不规律的
arrogance,n．傲慢，自大
articulate,v.清晰地表达;adj.表达清晰的
ascendant,adj.有影响力的，主宰的
ascetic,adj./n. 自制的(人)
aseptic,adj.消毒的，无菌的
askew,adj./adv.不成直线的（地），歪的（地）
aspect,n.外表，容貌
asperity,n.（举止、性情）粗暴;n.（环境）艰苦
aspersion,n.诽谤，中伤
aspirant,"n.有抱负者,有野心者"
assent,vi.同意
assert,vt.断言，肯定地说出
assertive,adj.自信的
assess,v.评估（重要性、尺寸、价值等）;v.征收费用（如罚款）
assiduous,adj.勤勉的，专心仔细的
assuage,vt.缓和，减轻
astounding,adj.令人吃惊的，出乎意料的
astute,adj.机敏的，有洞察力的
asunder,adv.分离地
asylum,n.收容所，保护所
asymmetrical,adj.不平衡的，不对称的
atone,v.赎罪，弥补
atrocious,adj.极坏的，极其残忍的
attenuate,v.降低（数量、力量、价值）
